Class,AUC
Disturbed Galaxies,1.0000
Merging Galaxies,1.0000
Round Smooth,1.0000
In-between Round Smooth,1.0000
Cigar-Shaped Smooth,1.0000
Barred Spiral,1.0000
Unbarred Tight Spiral,1.0000
Unbarred Loose Spiral,1.0000
Edge-on with Bulge,1.0000
Edge-on without Bulge,1.0000
